dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,topk_makespan,min_makespan_in_samples,classical_makespan,relative_gap_pct,topk_gap_pct,best_sample_gap_pct,output_path
dataset_20.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,186.0,141.0,141.0,141.0,31.914893617021278,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_full_qubo_run0_results.json
dataset_20.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,141.0,141.0,141.0,32.6241134751773,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_full_qubo_run1_results.json
dataset_20.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,153.0,141.0,141.0,32.6241134751773,8.51063829787234,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_full_qubo_run2_results.json
dataset_20.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,179.0,141.0,141.0,32.6241134751773,26.95035460992908,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_full_qubo_run3_results.json
dataset_20.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,146.0,141.0,141.0,32.6241134751773,3.5460992907801416,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_full_qubo_run4_results.json
dataset_20.csv,20,0,3,1024,8192,0.0,0.0,40.0,0.1,cobyla,5,aer,,ilp,282.0,221.0,151.0,141.0,100.0,56.737588652482266,7.092198581560283,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_balance_run0_results.json
dataset_20.csv,20,1,3,1024,8192,0.0,0.0,40.0,0.1,cobyla,5,aer,,ilp,282.0,238.0,142.0,141.0,100.0,68.79432624113475,0.7092198581560284,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_balance_run1_results.json
dataset_20.csv,20,2,3,1024,8192,0.0,0.0,40.0,0.1,cobyla,5,aer,,ilp,282.0,218.0,142.0,141.0,100.0,54.60992907801418,0.7092198581560284,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_balance_run2_results.json
dataset_20.csv,20,3,3,1024,8192,0.0,0.0,40.0,0.1,cobyla,5,aer,,ilp,282.0,211.0,144.0,141.0,100.0,49.645390070921984,2.127659574468085,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_balance_run3_results.json
dataset_20.csv,20,4,3,1024,8192,0.0,0.0,40.0,0.1,cobyla,5,aer,,ilp,282.0,222.0,144.0,141.0,100.0,57.4468085106383,2.127659574468085,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_no_balance_run4_results.json
dataset_20.csv,20,0,3,1024,8192,2.0,2.0,5.0,0.1,cobyla,5,aer,,ilp,151.0,141.0,141.0,141.0,7.092198581560283,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_low_penalty_run0_results.json
dataset_20.csv,20,1,3,1024,8192,2.0,2.0,5.0,0.1,cobyla,5,aer,,ilp,156.0,141.0,141.0,141.0,10.638297872340425,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_low_penalty_run1_results.json
dataset_20.csv,20,2,3,1024,8192,2.0,2.0,5.0,0.1,cobyla,5,aer,,ilp,151.0,141.0,141.0,141.0,7.092198581560283,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_low_penalty_run2_results.json
dataset_20.csv,20,3,3,1024,8192,2.0,2.0,5.0,0.1,cobyla,5,aer,,ilp,155.0,141.0,141.0,141.0,9.929078014184396,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_low_penalty_run3_results.json
dataset_20.csv,20,4,3,1024,8192,2.0,2.0,5.0,0.1,cobyla,5,aer,,ilp,154.0,141.0,141.0,141.0,9.21985815602837,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_low_penalty_run4_results.json
dataset_20.csv,20,0,3,1024,8192,50.0,50.0,100.0,0.1,cobyla,5,aer,,ilp,141.0,141.0,141.0,141.0,0.0,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_high_penalty_run0_results.json
