dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,min_makespan_in_samples,classical_makespan,relative_gap_pct,best_sample_gap_pct,output_path
dataset_20_uniform_0.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,171.0,128.0,128.0,33.59375,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_0_r3_shots8192_results_run0_results.json
dataset_20_uniform_0.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,171.0,129.0,128.0,33.59375,0.78125,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_0_r3_shots8192_results_run1_results.json
dataset_20_uniform_0.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,169.0,128.0,128.0,32.03125,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_0_r3_shots8192_results_run2_results.json
dataset_20_uniform_0.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,169.0,128.0,128.0,32.03125,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_0_r3_shots8192_results_run3_results.json
dataset_20_uniform_0.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,170.0,128.0,128.0,32.8125,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_0_r3_shots8192_results_run4_results.json
dataset_20_uniform_1.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,142.0,106.0,106.0,33.9622641509434,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_1_r3_shots8192_results_run0_results.json
dataset_20_uniform_1.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,140.0,106.0,106.0,32.075471698113205,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_1_r3_shots8192_results_run1_results.json
dataset_20_uniform_1.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,141.0,106.0,106.0,33.0188679245283,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_1_r3_shots8192_results_run2_results.json
dataset_20_uniform_1.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,141.0,106.0,106.0,33.0188679245283,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_1_r3_shots8192_results_run3_results.json
dataset_20_uniform_1.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,141.0,106.0,106.0,33.0188679245283,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_1_r3_shots8192_results_run4_results.json
dataset_20_uniform_2.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,169.0,127.0,127.0,33.07086614173228,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_2_r3_shots8192_results_run0_results.json
dataset_20_uniform_2.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,169.0,127.0,127.0,33.07086614173228,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_2_r3_shots8192_results_run1_results.json
dataset_20_uniform_2.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,169.0,127.0,127.0,33.07086614173228,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_2_r3_shots8192_results_run2_results.json
dataset_20_uniform_2.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,168.0,127.0,127.0,32.28346456692913,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_2_r3_shots8192_results_run3_results.json
dataset_20_uniform_2.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,168.0,127.0,127.0,32.28346456692913,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_uniform_2_r3_shots8192_results_run4_results.json
dataset_20_heavy_tailed_0.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,208.0,156.0,156.0,33.333333333333336,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_0_r3_shots8192_results_run0_results.json
dataset_20_heavy_tailed_0.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,206.0,156.0,156.0,32.05128205128205,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_0_r3_shots8192_results_run1_results.json
dataset_20_heavy_tailed_0.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,208.0,156.0,156.0,33.333333333333336,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_0_r3_shots8192_results_run2_results.json
dataset_20_heavy_tailed_0.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,206.0,156.0,156.0,32.05128205128205,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_0_r3_shots8192_results_run3_results.json
dataset_20_heavy_tailed_0.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,208.0,156.0,156.0,33.333333333333336,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_0_r3_shots8192_results_run4_results.json
dataset_20_heavy_tailed_1.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,412.0,308.0,308.0,33.76623376623377,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_1_r3_shots8192_results_run0_results.json
dataset_20_heavy_tailed_1.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,410.0,308.0,308.0,33.116883116883116,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_1_r3_shots8192_results_run1_results.json
dataset_20_heavy_tailed_1.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,409.0,308.0,308.0,32.79220779220779,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_1_r3_shots8192_results_run2_results.json
dataset_20_heavy_tailed_1.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,411.0,308.0,308.0,33.44155844155844,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_1_r3_shots8192_results_run3_results.json
dataset_20_heavy_tailed_1.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,409.0,308.0,308.0,32.79220779220779,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_1_r3_shots8192_results_run4_results.json
dataset_20_heavy_tailed_2.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,261.0,195.0,195.0,33.84615384615385,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_2_r3_shots8192_results_run0_results.json
dataset_20_heavy_tailed_2.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,261.0,195.0,195.0,33.84615384615385,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_2_r3_shots8192_results_run1_results.json
dataset_20_heavy_tailed_2.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,260.0,195.0,195.0,33.333333333333336,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_2_r3_shots8192_results_run2_results.json
dataset_20_heavy_tailed_2.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,261.0,195.0,195.0,33.84615384615385,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_2_r3_shots8192_results_run3_results.json
dataset_20_heavy_tailed_2.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,259.0,195.0,195.0,32.82051282051282,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_heavy_tailed_2_r3_shots8192_results_run4_results.json
dataset_20_clustered_0.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,179.0,134.0,134.0,33.582089552238806,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_0_r3_shots8192_results_run0_results.json
dataset_20_clustered_0.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,178.0,134.0,134.0,32.83582089552239,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_0_r3_shots8192_results_run1_results.json
dataset_20_clustered_0.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,180.0,134.0,134.0,34.32835820895522,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_0_r3_shots8192_results_run2_results.json
dataset_20_clustered_0.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,178.0,134.0,134.0,32.83582089552239,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_0_r3_shots8192_results_run3_results.json
dataset_20_clustered_0.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,177.0,134.0,134.0,32.08955223880597,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_0_r3_shots8192_results_run4_results.json
dataset_20_clustered_1.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,142.0,142.0,31.690140845070424,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_1_r3_shots8192_results_run0_results.json
dataset_20_clustered_1.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,191.0,142.0,142.0,34.50704225352113,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_1_r3_shots8192_results_run1_results.json
dataset_20_clustered_1.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,142.0,142.0,31.690140845070424,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_1_r3_shots8192_results_run2_results.json
dataset_20_clustered_1.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,142.0,142.0,32.394366197183096,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_1_r3_shots8192_results_run3_results.json
dataset_20_clustered_1.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,189.0,142.0,142.0,33.098591549295776,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_1_r3_shots8192_results_run4_results.json
dataset_20_clustered_2.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,207.0,155.0,155.0,33.54838709677419,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_2_r3_shots8192_results_run0_results.json
dataset_20_clustered_2.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,206.0,155.0,155.0,32.903225806451616,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_2_r3_shots8192_results_run1_results.json
dataset_20_clustered_2.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,205.0,155.0,155.0,32.25806451612903,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_2_r3_shots8192_results_run2_results.json
dataset_20_clustered_2.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,208.0,155.0,155.0,34.193548387096776,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_2_r3_shots8192_results_run3_results.json
dataset_20_clustered_2.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,209.0,155.0,155.0,34.83870967741935,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_clustered_2_r3_shots8192_results_run4_results.json
