dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,classical_makespan,relative_gap_pct,output_path
dataset_10.csv,10,0,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run0_results.json
dataset_10.csv,10,1,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run1_results.json
dataset_10.csv,10,2,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run2_results.json
dataset_10.csv,10,3,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run3_results.json
dataset_10.csv,10,4,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run4_results.json
dataset_10.csv,10,5,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run5_results.json
dataset_10.csv,10,6,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run6_results.json
dataset_10.csv,10,7,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run7_results.json
dataset_10.csv,10,8,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run8_results.json
dataset_10.csv,10,9,2,1024,8192,10.0,10.0,30.0,0.1,cobyla,5,aer,,brute_force,78.0,48,62.5,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_10_r2_shots8192_results_run9_results.json
dataset_20.csv,20,0,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,227.0,141.0,60.99290780141844,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run0_results.json
dataset_20.csv,20,1,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,226.0,141.0,60.283687943262414,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run1_results.json
dataset_20.csv,20,2,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run2_results.json
dataset_20.csv,20,3,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run3_results.json
dataset_20.csv,20,4,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,234.0,141.0,65.95744680851064,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run4_results.json
dataset_20.csv,20,5,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,226.0,141.0,60.283687943262414,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run5_results.json
dataset_20.csv,20,6,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,226.0,141.0,60.283687943262414,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run6_results.json
dataset_20.csv,20,7,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run7_results.json
dataset_20.csv,20,8,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run8_results.json
dataset_20.csv,20,9,3,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,225.0,141.0,59.57446808510638,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r3_shots8192_results_run9_results.json
dataset_25.csv,25,0,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,221.0,145.0,52.41379310344828,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run0_results.json
dataset_25.csv,25,1,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,215.0,145.0,48.275862068965516,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run1_results.json
dataset_25.csv,25,2,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,214.0,145.0,47.58620689655172,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run2_results.json
dataset_25.csv,25,3,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,223.0,145.0,53.793103448275865,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run3_results.json
dataset_25.csv,25,4,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,220.0,145.0,51.724137931034484,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run4_results.json
dataset_25.csv,25,5,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,221.0,145.0,52.41379310344828,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run5_results.json
dataset_25.csv,25,6,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,223.0,145.0,53.793103448275865,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run6_results.json
dataset_25.csv,25,7,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,222.0,145.0,53.10344827586207,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run7_results.json
dataset_25.csv,25,8,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,220.0,145.0,51.724137931034484,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run8_results.json
dataset_25.csv,25,9,3,1024,8192,10.0,10.0,50.0,0.1,cobyla,5,aer,,ilp,221.0,145.0,52.41379310344828,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_25_r3_shots8192_results_run9_results.json
